total_runs,batting_average,strike_rate,hundreds,fifties,boundary_rate,sr_powerplay,sr_death,dot_ball_pct_bat,wickets,economy_rate,bowling_average,bowling_sr,dot_ball_pct_bowl,economy_death,economy_powerplay,three_wicket_haul,matches_batted,matches_bowled,role,auction_price_cr,player,predicted_price_cr
280.0,18.67,145.08,0.0,0.0,16.06,83.33,151.18,30.05,19.0,9.16,21.05,13.79,31.68,10.39,15.0,1.0,23.0,20.0,0,6.87,A Ashish Reddy,6.96
1178.0,25.61,138.26,0.0,7.0,16.78,119.47,170.14,33.22,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,56.0,0.0,1,5.3,A Badoni,5.17
0.0,0.0,0.0,0.0,0.0,0.0,110.0,120.0,30.0,11.0,6.28,22.27,21.27,44.87,6.0,5.79,1.0,0.0,12.0,0,4.61,A Chandila,3.79
53.0,10.6,74.65,0.0,0.0,9.86,67.44,120.0,57.75,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,6.0,0.0,0,3.01,A Chopra,2.78
0.0,0.0,0.0,0.0,0.0,0.0,110.0,120.0,30.0,5.0,8.55,28.8,20.2,41.58,10.0,6.0,0.0,0.0,5.0,0,2.17,A Choudhary,2.37
62.0,31.0,116.98,0.0,0.0,13.21,107.14,169.23,37.74,2.0,9.64,53.0,33.0,31.82,17.33,7.67,0.0,3.0,3.0,0,3.98,A Flintoff,3.96
74.0,24.67,134.55,0.0,0.0,16.36,110.0,117.78,34.55,34.0,9.78,24.21,14.85,40.79,10.37,9.48,5.0,10.0,25.0,2,9.13,A Kamboj,8.21
35.0,17.5,74.47,0.0,0.0,6.38,110.0,74.36,46.81,49.0,6.77,22.22,19.69,41.14,8.38,5.43,5.0,15.0,42.0,2,9.86,A Kumble,9.87
292.0,15.37,123.73,0.0,0.0,15.68,66.67,166.23,38.98,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,20.0,0.0,0,3.52,A Manohar,3.54
441.0,36.75,176.4,0.0,3.0,29.6,179.74,90.0,35.6,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,13.0,0.0,0,5.53,A Mhatre,5.44
381.0,12.7,91.37,0.0,0.0,8.63,83.33,113.4,42.45,183.0,7.46,22.91,18.42,36.19,9.85,6.88,20.0,55.0,162.0,2,24.4,A Mishra,24.71
0.0,0.0,0.0,0.0,0.0,0.0,110.0,120.0,30.0,8.0,9.94,59.62,36.0,32.99,11.92,9.06,0.0,0.0,16.0,0,1.36,A Mithun,1.43
41.0,5.12,68.33,0.0,0.0,6.67,110.0,63.16,60.0,121.0,7.98,20.97,15.77,43.4,9.06,7.57,18.0,17.0,88.0,2,18.01,A Nehra,17.96
49.0,8.17,98.0,0.0,0.0,12.0,110.0,104.55,48.0,63.0,9.27,27.62,17.87,40.76,10.6,8.58,5.0,14.0,49.0,2,9.34,A Nortje,9.3
885.0,35.4,141.83,0.0,7.0,19.39,138.68,161.18,33.33,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,30.0,0.0,1,4.88,A Raghuvanshi,5.12
0.0,0.0,0.0,0.0,0.0,0.0,110.0,120.0,30.0,31.0,8.11,20.61,15.26,42.28,10.31,7.0,3.0,0.0,23.0,2,5.15,A Singh,5.4
974.0,37.46,130.74,1.0,5.0,15.44,104.58,168.31,36.64,23.0,7.9,30.17,22.91,39.09,11.77,6.19,1.0,36.0,30.0,3,8.81,A Symonds,8.85
0.0,0.0,0.0,0.0,0.0,0.0,110.0,120.0,30.0,32.0,8.39,20.5,14.66,30.92,13.52,7.14,3.0,0.0,22.0,2,5.09,A Zampa,4.87
69.0,13.8,82.14,0.0,0.0,5.95,71.05,125.93,46.43,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,7.0,0.0,0,2.09,AA Bilakhia,2.32
0.0,0.0,0.0,0.0,0.0,0.0,110.0,120.0,30.0,8.0,8.2,42.38,31.0,44.35,16.5,7.39,0.0,0.0,13.0,0,1.65,AA Chavan,1.83
217.0,15.5,103.83,0.0,1.0,11.48,59.62,139.47,42.58,1.0,9.18,130.0,85.0,32.94,12.0,8.17,0.0,15.0,10.0,0,4.14,AA Jhunjhunwala,3.85
26.0,6.5,78.79,0.0,0.0,9.09,80.95,120.0,57.58,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,4.0,0.0,0,2.23,AA Kulkarni,2.28
179.0,22.38,118.54,0.0,0.0,11.92,153.85,137.97,35.1,33.0,9.01,35.58,23.7,34.91,10.1,8.88,3.0,18.0,42.0,2,7.82,AB Agarkar,7.92
42.0,21.0,100.0,0.0,0.0,14.29,111.11,40.0,50.0,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,3.0,0.0,0,2.46,AB Barath,2.78
26.0,2.89,54.17,0.0,0.0,4.17,110.0,48.65,60.42,82.0,8.32,25.65,18.49,42.74,11.3,7.4,9.0,16.0,75.0,2,11.55,AB Dinda,11.44
123.0,24.6,123.0,0.0,0.0,13.0,157.89,125.81,35.0,14.0,8.48,18.79,13.29,27.96,10.2,8.8,2.0,9.0,10.0,0,6.17,AB McDonald,6.16
5181.0,41.45,152.38,3.0,40.0,19.62,118.41,235.26,30.56,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,170.0,0.0,1,12.49,AB de Villiers,12.95
120.0,17.14,133.33,0.0,1.0,25.56,129.41,120.0,52.22,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,7.0,0.0,0,4.2,AC Blizzard,4.13
2069.0,27.22,139.51,2.0,11.0,22.32,133.79,208.0,45.38,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,80.0,0.0,1,7.18,AC Gilchrist,7.24
0.0,0.0,0.0,0.0,0.0,0.0,110.0,120.0,30.0,16.0,7.92,26.0,19.69,42.22,10.12,6.53,1.0,0.0,15.0,0,3.53,AC Thomas,3.54
181.0,30.17,126.57,0.0,0.0,12.59,84.62,150.0,30.77,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,7.0,0.0,0,3.6,AC Voges,3.93
148.0,24.67,126.5,0.0,0.0,16.24,135.23,120.0,40.17,0.0,10.5,50.0,40.0,30.0,11.0,9.0,0.0,6.0,0.0,0,4.42,AD Hales,3.59
79.0,7.9,101.28,0.0,0.0,7.69,200.0,110.34,35.9,19.0,7.11,19.21,16.21,42.21,10.29,7.22,2.0,11.0,13.0,0,6.13,AD Mascarenhas,6.04
724.0,23.35,126.35,0.0,1.0,12.74,68.75,154.07,31.94,28.0,8.31,39.11,28.25,29.96,8.88,8.43,2.0,41.0,44.0,3,8.09,AD Mathews,7.87
