A_form5,B_form5,form_diff5,A_form10,B_form10,form_diff10,A_overall_wr,B_overall_wr,overall_wr_diff,A_venue_wr,B_venue_wr,A_venue_exp,B_venue_exp,venue_exp_diff,venue_wr_diff,venue_bat_first_wr,A_avg_score,B_avg_score,score_diff,A_avg_wickets,B_avg_wickets,wicket_diff,h2h_wr_A,h2h_n,toss_decision_bat,toss_correct,A_consistency,B_consistency,season_stage,toss_winner_won,match_id,season,team_A,team_B
0.6,0.4,0.2,0.5,0.6,-0.1,0.5,0.6,-0.1,0.75,0.5,4,0,4,0.25,0.5,147.1,172.5,-25.4,6.0,5.2,0.8,0.0,1,1,1,0.4841,0.5,1,0,336025,2008,Kolkata Knight Riders,Chennai Super Kings
0.2,0.2,0.0,0.4,0.2,0.2,0.4545,0.2,0.2545,0.5,0.2,0,5,-5,0.3,0.5,154.0,141.0,13.0,6.55,4.2,2.35,1.0,1,0,0,0.4841,0.3307,1,1,336026,2008,Delhi Capitals,Royal Challengers Bangalore
0.8,0.6,0.2,0.8,0.4,0.4,0.8,0.4545,0.3455,0.5,0.6,0,5,-5,-0.1,0.5,155.8,147.27,8.53,6.9,5.45,1.45,1.0,1,0,0,0.3307,0.4841,1,1,336027,2008,Rajasthan Royals,Kolkata Knight Riders
1.0,0.8,0.2,0.6,0.7,-0.1,0.6,0.7,-0.1,0.6667,0.5,3,0,3,0.1667,0.5,144.5,159.0,-14.5,7.1,6.6,0.5,0.0,1,0,0,0.433,0.3307,1,0,336028,2008,Mumbai Indians,Kings XI Punjab
0.0,0.6,-0.6,0.2,0.6,-0.4,0.1818,0.6364,-0.4546,0.5,0.6,0,5,-5,-0.1,0.5,142.18,161.82,-19.64,4.27,5.18,-0.91,0.0,1,1,1,0.3307,0.5,1,1,336029,2008,Royal Challengers Bangalore,Chennai Super Kings
0.8,0.2,0.6,0.8,0.2,0.6,0.7273,0.1818,0.5455,0.8,0.5,5,0,5,0.3,0.5,161.73,158.36,3.37,6.91,5.0,1.91,1.0,1,0,0,0.3307,0.433,2,1,336031,2008,Kings XI Punjab,Deccan Chargers
0.4,0.8,-0.4,0.4,0.6,-0.2,0.5,0.5455,-0.0455,0.6,0.5,5,0,5,0.1,0.5,154.33,148.45,5.88,6.58,6.82,-0.24,0.0,1,0,0,0.4841,0.433,2,1,336032,2008,Delhi Capitals,Mumbai Indians
0.8,0.6,0.2,0.9,0.5,0.4,0.8182,0.5833,0.2349,0.5,0.5,0,6,-6,0.0,0.5,155.27,157.67,-2.4,7.0,5.42,1.58,1.0,1,1,1,0.3307,0.4841,2,1,336033,2008,Rajasthan Royals,Chennai Super Kings
0.0,0.2,-0.2,0.2,0.2,0.0,0.1667,0.25,-0.0833,0.0,0.5,5,0,5,-0.5,0.5,159.75,140.83,18.92,4.92,4.58,0.34,0.0,1,1,1,0.3307,0.433,2,0,336002,2008,Deccan Chargers,Royal Challengers Bangalore
0.8,0.4,0.4,0.9,0.3,0.6,0.75,0.4167,0.3333,0.5,0.5,0,6,-6,0.0,0.5,163.08,147.25,15.83,6.67,5.33,1.34,1.0,1,1,1,0.3307,0.4841,2,0,336035,2008,Kings XI Punjab,Kolkata Knight Riders
